financial_year,maker,market_share,month,num_vehicles,Sales_Date,brand_key
2019-20,Hero Electric,0.3,Apr,1776,01-04-2019,Hero Electric
2019-20,Hero Electric,0.3,May,455,01-05-2019,Hero Electric
2019-20,Hero Electric,0.3,Jun,329,01-06-2019,Hero Electric
2019-20,Hero Electric,0.3,Jul,260,01-07-2019,Hero Electric
2019-20,Hero Electric,0.3,Aug,249,01-08-2019,Hero Electric
2019-20,Hero Electric,0.3,Sep,245,01-09-2019,Hero Electric
2019-20,Hero Electric,0.3,Oct,541,01-10-2019,Hero Electric
2019-20,Hero Electric,0.3,Nov,859,01-11-2019,Hero Electric
2019-20,Hero Electric,0.3,Dec,459,01-12-2019,Hero Electric
2019-20,Hero Electric,0.3,Jan,616,01-01-2020,Hero Electric
2019-20,Hero Electric,0.3,Feb,648,01-02-2020,Hero Electric
2019-20,Hero Electric,0.3,Mar,1428,01-03-2020,Hero Electric
2019-20,Okinawa Autotech,0.38,Apr,928,01-04-2019,Okinawa
2019-20,Okinawa Autotech,0.38,May,847,01-05-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Jun,688,01-06-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Jul,824,01-07-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Aug,818,01-08-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Sep,914,01-09-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Oct,1006,01-10-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Nov,1394,01-11-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Dec,762,01-12-2019,Okinawa
2019-20,Okinawa Autotech,0.38,Jan,715,01-01-2020,Okinawa
2019-20,Okinawa Autotech,0.38,Feb,664,01-02-2020,Okinawa
2019-20,Okinawa Autotech,0.38,Mar,575,01-03-2020,Okinawa
2019-20,Ather Energy,0.11,Apr,28,01-04-2019,Ather
2019-20,Ather Energy,0.11,May,107,01-05-2019,Ather
2019-20,Ather Energy,0.11,Jun,464,01-06-2019,Ather
2019-20,Ather Energy,0.11,Jul,300,01-07-2019,Ather
2019-20,Ather Energy,0.11,Aug,183,01-08-2019,Ather
2019-20,Ather Energy,0.11,Sep,96,01-09-2019,Ather
2019-20,Ather Energy,0.11,Oct,140,01-10-2019,Ather
2019-20,Ather Energy,0.11,Nov,358,01-11-2019,Ather
2019-20,Ather Energy,0.11,Dec,282,01-12-2019,Ather
2019-20,Ather Energy,0.11,Jan,284,01-01-2020,Ather
2019-20,Ather Energy,0.11,Feb,369,01-02-2020,Ather
2019-20,Ather Energy,0.11,Mar,294,01-03-2020,Ather
2019-20,Ampere Vehicles,0.09,Apr,0,01-04-2019,Ampere
2019-20,Ampere Vehicles,0.09,May,103,01-05-2019,Ampere
2019-20,Ampere Vehicles,0.09,Jun,107,01-06-2019,Ampere
2019-20,Ampere Vehicles,0.09,Jul,35,01-07-2019,Ampere
2019-20,Ampere Vehicles,0.09,Aug,57,01-08-2019,Ampere
2019-20,Ampere Vehicles,0.09,Sep,155,01-09-2019,Ampere
2019-20,Ampere Vehicles,0.09,Oct,176,01-10-2019,Ampere
2019-20,Ampere Vehicles,0.09,Nov,135,01-11-2019,Ampere
2019-20,Ampere Vehicles,0.09,Dec,434,01-12-2019,Ampere
2019-20,Ampere Vehicles,0.09,Jan,867,01-01-2020,Ampere
2019-20,Ampere Vehicles,0.09,Feb,296,01-02-2020,Ampere
2019-20,Ampere Vehicles,0.09,Mar,153,01-03-2020,Ampere
2019-20,Revolt,0.04,Apr,0,01-04-2019,Revolt
2019-20,Revolt,0.04,May,0,01-05-2019,Revolt
2019-20,Revolt,0.04,Jun,0,01-06-2019,Revolt
2019-20,Revolt,0.04,Jul,0,01-07-2019,Revolt
2019-20,Revolt,0.04,Aug,0,01-08-2019,Revolt
2019-20,Revolt,0.04,Sep,0,01-09-2019,Revolt
2019-20,Revolt,0.04,Oct,89,01-10-2019,Revolt
2019-20,Revolt,0.04,Nov,189,01-11-2019,Revolt
2019-20,Revolt,0.04,Dec,202,01-12-2019,Revolt
2019-20,Revolt,0.04,Jan,314,01-01-2020,Revolt
2019-20,Revolt,0.04,Feb,155,01-02-2020,Revolt
2019-20,Revolt,0.04,Mar,114,01-03-2020,Revolt
2019-20,Others,0.08,Apr,247,01-04-2019,Others
2019-20,Others,0.08,May,128,01-05-2019,Others
2019-20,Others,0.08,Jun,146,01-06-2019,Others
2019-20,Others,0.08,Jul,135,01-07-2019,Others
2019-20,Others,0.08,Aug,179,01-08-2019,Others
2019-20,Others,0.08,Sep,135,01-09-2019,Others
2019-20,Others,0.08,Oct,167,01-10-2019,Others
2019-20,Others,0.08,Nov,187,01-11-2019,Others
2019-20,Others,0.08,Dec,81,01-12-2019,Others
2019-20,Others,0.08,Jan,129,01-01-2020,Others
2019-20,Others,0.08,Feb,204,01-02-2020,Others
2019-20,Others,0.08,Mar,288,01-03-2020,Others
2020-21,Hero Electric,0.36,Apr,39,01-04-2020,Hero Electric
2020-21,Hero Electric,0.36,May,200,01-05-2020,Hero Electric
2020-21,Hero Electric,0.36,Jun,530,01-06-2020,Hero Electric
