financial_year,maker,market_share,brand_key
2019-20,Hero Electric,0.3,Hero Electric
2019-20,Okinawa Autotech,0.38,Okinawa
2019-20,Ather Energy,0.11,Ather
2019-20,Ampere Vehicles,0.09,Ampere
2019-20,Revolt,0.04,Revolt
2019-20,Others,0.08,Others
2020-21,Hero Electric,0.36,Hero Electric
2020-21,Okinawa Autotech,0.16,Okinawa
2020-21,Ampere Vehicles,0.14,Ampere
2020-21,Ather Energy,0.1,Ather
2020-21,Revolt,0.04,Revolt
2020-21,Bajaj,0.03,Bajaj
2020-21,Pure EV,0.05,Pure EV
2020-21,Benling,0.03,Benling
2020-21,Jitendra,0.01,Jitendra
2020-21,TVS,0.02,TVS
2020-21,Others,0.07,Others
2021-22,Hero Electric,0.28,Hero Electric
2021-22,Okinawa Autotech,0.19,Okinawa
2021-22,Ampere Vehicles,0.1,Ampere
2021-22,Ather Energy,0.08,Ather
2021-22,Pure EV,0.06,Pure EV
2021-22,Ola Electric,0.06,Ola
2021-22,TVS,0.04,TVS
2021-22,Revolt,0.03,Revolt
2021-22,Bajaj,0.03,Bajaj
2021-22,Benling,0.03,Benling
2021-22,Jitendra,0.02,Jitendra
2021-22,Others,0.1,Others
2022-23,OLA ELECTRIC,0.21,Ola
2022-23,OKINAWA,0.13,Okinawa
2022-23,HERO ELECTRIC,0.12,Hero Electric
2022-23,AMPERE,0.12,Ampere
2022-23,TVS,0.11,TVS
2022-23,ATHER,0.11,Ather
2022-23,BAJAJ,0.04,Bajaj
2022-23,OKAYA EV,0.02,Okaya
2022-23,REVOLT,0.02,Revolt
2022-23,PURE EV,0.02,Pure EV
2022-23,BEING INDIA,0.01,Being India
2022-23,JITENDRA NEW EV,0.01,Jitendra
2022-23,OTHERS,0.08,Others
